"term","meaning_ja","pos","level","entry_type","example_sentence","example_translation_ja"
"물","水","noun","1","word","‹물› 한 잔 주세요.","‹水›を一杯ください。"
"불","火","noun","2","word","‹불›을 조심하세요.","‹火›に気をつけてください。"
"바람","風","noun","1","word","‹바람›이 많이 불어요.","‹風›が強く吹いています。"
"하늘","空","noun","1","word","‹하늘›이 정말 파랗네요.","‹空›が本当に青いですね。"
"땅","土・地面","noun","1","word","‹땅›에 주저앉았어요.","‹地面›に座り込みました。"
"산","山","noun","1","word","주말에 ‹산›에 가요.","週末に‹山›に行きます。"
"바다","海","noun","2","word","여름에는 ‹바다›에 가고 싶어요.","夏には‹海›に行きたいです。"
"강","川","noun","2","word","‹강›가에서 산책을 해요.","‹川›のほとりで散歩をします。"
"숲","森","noun","3","word","‹숲›길을 천천히 걸었어요.","‹森›の道をゆっくり歩きました。"
"길","道","noun","1","word","집으로 가는 ‹길›이에요.","家へ帰る‹道›です。"
"문","ドア","noun","1","word","‹문›을 닫아 주세요.","‹ドア›を閉めてください。"
"창문","窓","noun","1","word","‹창문›을 열까요?","‹窓›を開けましょうか？"
"침대","ベッド","noun","1","word","‹침대›에서 잠을 자요.","‹ベッド›で眠ります。"
"책상","机","noun","1","word","‹책상› 위에 책이 있어요.","‹机›の上に本があります。"
"의자","椅子","noun","1","word","‹의자›에 앉으세요.","‹椅子›に座ってください。"
"벽","壁","noun","2","word","‹벽›에 사진을 붙였어요.","‹壁›に写真を貼りました。"
"천장","天井","noun","3","word","‹천장›에 조명이 달려 있어요.","‹天井›に照明がついています。"
"바닥","床","noun","2","word","‹바닥›이 조금 차が워요.","‹床›が少し冷たいです。"
"화장실","トイレ","noun","1","word","‹화장실›이 어디예요?","‹トイレ›はどこですか？"
"부엌","台所","noun","2","word","‹부엌›에서 요리를 해요.","‹台所›で料理をします。"
"침실","寝室","noun","2","word","여기는 제가 자는 ‹침실›이에요.","ここは私が寝る‹寝室›です。"
"거실","居間","noun","2","word","‹거실›에서 TV를 봐요.","‹居間›でテレビを見ます。"
"옷","服","noun","1","word","이 ‹옷›을 입어 보세요.","この‹服›を着てみてください。"
"바지","ズボン","noun","1","word","이 ‹바지›는 너무 길어요.","この‹ズボン›は長すぎます。"
"신발","靴","noun","1","word","새 ‹신발›을 샀어요.","新しい‹靴›を買いました。"
"모자","帽子","noun","1","word","‹모자›를 쓰고 나가요.","‹帽子›をかぶって出かけます。"
"가방","かばん","noun","1","word","‹가방› 안에 지갑이 있어요.","‹かばん›の中に財布があります。"
"시계","時計","noun","1","word","벽‹시계›가 고장 났어요.","壁‹時計›が故障しました。"
"안경","眼鏡","noun","2","word","‹안경›을 써야 잘 보여요.","‹眼鏡›をかけないとよく見えません。"
"열쇠","鍵","noun","2","word","집 ‹열쇠›를 잃어버렸어요.","家の‹鍵›を失くしました。"
"돈","お金","noun","1","word","‹돈›이 모자라요.","‹お金›が足りません。"
"카드","カード","noun","2","word","‹카드›로 계산할게요.","‹カード›で計算します。"
"편지","手紙","noun","2","word","친구에게 ‹편지›를 썼어요.","友達に‹手紙›を書きました。"
"사진","写真","noun","1","word","‹사진›을 찍어 줄까요?","‹写真›を撮ってあげましょうか？"
"그림","絵","noun","2","word","아이들이 ‹그림›을 그려요.","子供たちが‹絵›を描きます。"
"소리","音","noun","2","word","텔레비전 ‹소리›가 커요.","テレビの‹音›が大きいです。"
"빛","光","noun","3","word","햇‹빛›이 눈부셔요.","太陽の‹光›がまぶしいです。"
"그림자","影","noun","4","word","햇빛 때문에 ‹그림자›가 생겼어요.","日差しのせいで‹影›ができました。"
"냄새","におい","noun","3","word","맛있는 ‹냄새›가 나요.","いい‹匂い›がします。"
"맛","味","noun","1","word","음식 ‹맛›이 어때요?","料理の‹味›はどうですか？"
"색","色","noun","1","word","좋아하는 ‹색›이 뭐예요?","好きな‹色›は何ですか？"
"모양","形","noun","3","word","하트 ‹모양› 케이크를 샀어요.","ハートの‹形›のケーキを買いました。"
"크기","大きさ","noun","3","word","‹크기›가 딱 적당해요.","‹大きさ›がちょうどいいです。"
"무게","重さ","noun","4","word","이 가방은 ‹무게›가 가벼워요.","このバッグは‹重さ›が軽いです。"
"아침","朝","noun","1","word","‹아침›을 매일 먹어요.","‹朝食›を毎日食べます。"
"점심","昼","noun","1","word","‹점심›에 같이 밥 먹을까요?","‹昼食›に一緒にご飯食べましょうか？"
"저녁","晩","noun","1","word","‹저녁›에 만나요.","‹晩（夜）›に会いましょう。"
"밤","夜","noun","1","word","‹밤›에는 일찍 자요.","‹夜›は早く寝ます。"
"낮","昼間","noun","2","word","‹낮›잠을 조금 잤어요.","‹昼›寝を少ししました。"
"일주일","1週間","noun","2","word","벌써 ‹일주일›이 지났네요.","もう‹1週間›が過ぎましたね。"
"달","月","noun","1","word","이번 ‹달›은 정말 바빠요.","今‹月›は本当に忙しいです。"
"해","太陽","noun","2","word","‹해›가 일찍 뜨네요.","‹日›が早く昇りますね。"
"별","星","noun","2","word","밤하늘에 ‹별›이 많아요.","夜空に‹星›が多いです。"
"구름","雲","noun","2","word","하늘에 ‹구름›이 꼈어요.","空に‹雲›が出ています。"
"비","雨","noun","1","word","내일 ‹비›가 올까요?","明日‹雨›が降るでしょうか？"
"눈","雪","noun","1","word","어제 ‹눈›이 내렸어요.","昨日‹雪›が降りました。"
"봄","春","noun","2","word","따뜻한 ‹봄›이 왔어요.","暖かい‹春›が来ました。"
"여름","夏","noun","2","word","한국의 ‹여름›은 더워요.","韓国の‹夏›は暑いです。"
"가을","秋","noun","2","word","‹가을›은 독서의 계절이에요.","‹秋›は読書の季節です。"
"겨울","冬","noun","2","word","추운 ‹겨울›을 좋아해요.","寒い‹冬›が好きです。"
"학교","学校","noun","1","word","‹학교›에 가요.","‹学校›に行きます。"
"회사","会社","noun","1","word","‹회사›가 몇 시에 끝나요?","‹会社›は何時に終わりますか？"
"집","家","noun","1","word","지금 ‹집›에 가고 있어요.","今‹家›に帰っています。"
"역","駅","noun","1","word","강남‹역›에서 내려요.","江南‹駅›で降ります。"
"공항","空港","noun","3","word","‹공항›에 마중을 나가요.","‹空港›に迎えに行きます。"
"병원","病院","noun","2","word","감기에 걸려서 ‹병원›에 갔어요.","風邪を引いて‹病院›に行きました。"
"약국","薬局","noun","3","word","근처에 ‹약국›이 있나요?","近くに‹薬局›はありますか？"
"은행","銀行","noun","2","word","‹은행›에서 돈을 찾았어요.","‹銀行›でお金をおろしました。"
"마트","スーパー","noun","2","word","집 앞 ‹마트›에서 장을 봐요.","家の前の‹スーパー›で買い物をします。"
"카페","カフェ","noun","1","word","‹카페›에서 커피를 마셔요.","‹カフェ›でコーヒーを飲みます。"
"식당","食堂","noun","1","word","이 ‹식당› 음식이 맛있어요.","この‹食堂›の料理がおいしいです。"
"공원","公園","noun","2","word","‹공원›에서 산책을 해요.","‹公園›で散歩をします。"
"박물관","博物館","noun","4","word","‹박물관›을 관람했어요.","‹博物館›を観覧しました。"
"도서관","図書館","noun","2","word","‹도서관›에서 책을 빌려요.","‹図書館›で本を借ります。"
"극장","劇場","noun","3","word","영화를 보러 ‹극장›에 가요.","映画を見に‹劇場›に行きます。"
"운동장","運動場","noun","3","word","‹운동장›에서 공을 차요.","‹運動場›でボールを蹴ります。"
"수영장","プール","noun","3","word","‹수영장›에서 수영을 배워요.","‹プール›で水泳を習います。"
"공장","工場","noun","4","word","이 ‹공장›에서는 차를 만들어요.","この‹工場›では車を作っています。"
"사고","事故","noun","3","word","교통‹사고›를 조심해야 해요.","交通‹事故›に気をつけなければなりません。"
"선물","贈り物","noun","2","word","생일 ‹선물›을 받았어요.","誕生日‹プレゼント›をもらいました。"
"약속","約束","noun","2","word","내일 친구와 ‹약속›이 있어요.","明日友達と‹約束›があります。"
"회의","会議","noun","3","word","오후에 중요한 ‹회의›가 있어요.","午後に重要な‹会議›があります。"
"여행","旅行","noun","2","word","제주도로 ‹여행›을 가요.","済州島に‹旅行›に行きます。"
"휴가","休暇","noun","3","word","이번 ‹휴가›는 어디로 가요?","今回の‹休暇›はどこへ行きますか？"
"꿈","夢","noun","2","word","좋은 ‹꿈› 꾸세요.","いい‹夢›を見てください。"
"희망","希望","noun","3","word","‹희망›을 가지세요.","‹希望›を持ってください。"
"걱정","心配","noun","2","word","너무 ‹걱정›하지 마세요.","あまり‹心配›しないでください。"
"기쁨","喜び","noun","3","word","합격 소식에 ‹기쁨›이 컸어요.","合格の知らせに‹喜び›が大きかったです。"
"슬픔","悲しみ","noun","3","word","‹슬픔›을 이겨냈어요.","‹悲しみ›を乗り越えました。"
"화","怒り","noun","3","word","‹화›가 나도 참으세요.","‹腹›が立っても我慢してください。"
"사랑","愛","noun","2","word","‹사랑›을 전하세요.","‹愛›を伝えてください。"
"우정","友情","noun","4","word","오래된 친구와 ‹우정›을 나눠요.","古い友人と‹友情›を分かち合います。"
"가족","家族","noun","1","word","‹가족›이 몇 명이에요?","‹家族›は何人ですか？"
"형제","兄弟","noun","2","word","‹형제›가 있어요?","‹兄弟›はいますか？"
"먹다","食べる","verb","1","word","저는 밥을 ‹먹어요›.","私はご飯を‹食べます›。"
"마시다","飲む","verb","1","word","물을 ‹마셔요›.","水を‹飲みます›。"
"공부하다","勉強する","verb","1","word","한국어를 ‹공부해요›.","韓国語を‹勉強します›。"
"가다","行く","verb","1","word","학교에 ‹가요›.","学校に‹行きます›。"
"오다","来る","verb","1","word","집에 ‹와요›.","家に‹来ます›。"
"보다","見る","verb","1","word","영화를 ‹봐요›.","映画を‹見ます›。"
"만들다","作る","verb","2","word","샌드위치를 ‹만들었›어요.","サンドイッチを‹作り›ました。"
"듣다","聞く","verb","1","word","음악을 ‹듣›는 것을 좋아해요.","音楽を‹聴く›のが好きです。"
"읽다","読む","verb","1","word","책을 ‹읽›고 있어요.","本を‹読んで›います。"
"쓰다","書く","verb","1","word","일기를 매일 ‹써›요.","日記を毎日‹書き›ます。"
"말하다","話す","verb","2","word","천천히 ‹말해› 주세요.","ゆっくり‹話して›ください。"
"알다","知る","verb","1","word","저 사람을 ‹알›아요?","あの人を‹知って›いますか？"
"모르다","知らない","verb","1","word","이름을 잘 ‹모르›겠어요.","名前がよく‹分かり›ません。"
"생각하다","考える","verb","2","word","잠시 ‹생각해› 볼게요.","ちょっと‹考え›てみます。"
"느끼다","感じる","verb","3","word","가을이 온 것을 ‹느껴›요.","秋が来たことを‹感じ›ます。"
"사랑하다","愛する","verb","2","word","부모님을 ‹사랑해›요.","両親を‹愛して›います。"
"좋아하다","好きだ","verb","1","word","무슨 음식을 ‹좋아해›요?","何の料理が‹好き›ですか？"
"싫어하다","嫌いだ","verb","2","word","채소를 ‹싫어해›요.","野菜を‹嫌い›です。"
"도와주다","手伝う","verb","2","word","제가 좀 ‹도와줄›까요?","私が少し‹手伝い›ましょうか？"
"기다리다","待つ","verb","1","word","조금만 ‹기다려› 주세요.","少しだけ‹待って›ください。"
"만나다","会う","verb","1","word","내일 ‹만나›서 이야기해요.","明日‹会っ›て話しましょう。"
"떠나다","去る","verb","3","word","여행을 ‹떠나›고 싶어요.","旅行に‹出かけ›たいです。"
"도착하다","到着する","verb","2","word","집에 ‹도착하면› 연락할게요.","家に‹到着したら›連絡します。"
"시작하다","始める","verb","2","word","공부를 ‹시작했›어요.","勉強を‹始め›ました。"
"끝내다","終える","verb","3","word","숙제를 다 ‹끝냈›어요.","宿題を全部‹終え›ました。"
"계속하다","続ける","verb","3","word","포기하지 말고 ‹계속하›세요.","諦めずに‹続け›てください。"
"멈추다","止まる","verb","2","word","차가 ‹멈췄›어요.","車が‹止まり›ました。"
"열다","開ける","verb","1","word","문을 ‹열어› 놓으세요.","ドアを‹開けて›おいてください。"
"닫다","閉める","verb","1","word","창문을 ‹닫›을까요?","窓を‹閉め›ましょうか？"
"켜다","つける","verb","2","word","불을 ‹켜› 주세요.","電気を‹つけて›ください。"
"끄다","消す","verb","2","word","TV를 ‹끄›고 자요.","テレビを‹消し›て寝ます。"
